,bbox_list
07fb37aafa6626608af90c1e18f6a743f29b6b233d2e427dcd1102df6a916cf5,"[[21, 0, 46, 18], [84, 0, 106, 17], [139, 0, 151, 10], [155, 0, 179, 21], [250, 0, 271, 17], [293, 0, 310, 16], [312, 0, 341, 56], [435, 0, 449, 6], [474, 0, 504, 32], [508, 0, 520, 6], [3, 1, 12, 17], [361, 1, 377, 29], [396, 3, 412, 31], [249, 9, 285, 57], [416, 13, 463, 54], [215, 16, 237, 46], [120, 18, 140, 46], [479, 19, 520, 87], [378, 20, 396, 41], [463, 21, 488, 48], [85, 23, 123, 61], [140, 23, 180, 74], [282, 23, 299, 48], [32, 29, 58, 47], [9, 30, 32, 51], [191, 36, 216, 59], [405, 42, 428, 67], [438, 52, 464, 71], [310, 57, 342, 126], [252, 59, 272, 84], [385, 59, 407, 86], [290, 60, 307, 87], [192, 64, 218, 84], [79, 69, 122, 97], [418, 69, 444, 127], [451, 70, 478, 123], [439, 73, 454, 95], [0, 76, 10, 99], [363, 77, 384, 101], [23, 82, 56, 111], [516, 83, 520, 107], [216, 87, 236, 116], [275, 87, 299, 119], [148, 91, 213, 123], [69, 99, 86, 122], [343, 99, 366, 112], [251, 108, 272, 137], [112, 113, 134, 143], [470, 113, 485, 142], [15, 115, 45, 134], [489, 124, 520, 167], [148, 125, 166, 143], [308, 131, 332, 157], [350, 131, 431, 173], [163, 135, 179, 153], [10, 141, 46, 179], [80, 141, 104, 163], [59, 142, 82, 173], [203, 142, 228, 161], [216, 145, 301, 208], [286, 149, 311, 172], [172, 152, 200, 190], [505, 158, 520, 184], [372, 162, 407, 199], [145, 166, 169, 190], [0, 172, 13, 190], [464, 174, 512, 217], [430, 176, 454, 196], [345, 178, 366, 197], [93, 183, 112, 198], [117, 190, 131, 208], [0, 193, 14, 211], [182, 193, 212, 211], [73, 195, 93, 217], [339, 197, 368, 222], [320, 199, 339, 226], [122, 208, 144, 231], [263, 209, 289, 233], [465, 209, 520, 260], [400, 212, 426, 231], [26, 214, 51, 231], [347, 220, 368, 243], [171, 229, 211, 253], [0, 232, 60, 280], [259, 234, 287, 252], [432, 235, 458, 256], [387, 236, 428, 289], [120, 240, 155, 268], [344, 249, 386, 291], [244, 251, 266, 272], [89, 252, 106, 279], [162, 256, 190, 274], [291, 261, 313, 282], [483, 262, 520, 318], [213, 264, 240, 304], [260, 265, 285, 286], [67, 267, 85, 291], [431, 274, 455, 294], [160, 284, 181, 301], [184, 285, 204, 302], [18, 287, 43, 317], [287, 287, 309, 310], [84, 290, 104, 310], [301, 298, 344, 359], [363, 301, 414, 328], [424, 304, 475, 389], [253, 310, 271, 337], [188, 313, 217, 331], [0, 318, 64, 353], [112, 318, 150, 359], [67, 325, 94, 346], [484, 330, 520, 381], [194, 335, 226, 360], [159, 336, 193, 376], [263, 342, 282, 363], [82, 346, 105, 363], [355, 357, 380, 409], [335, 358, 353, 377], [240, 360, 263, 380], [129, 361, 154, 383], [386, 365, 428, 396], [83, 369, 105, 399], [267, 369, 308, 413], [307, 370, 326, 397], [219, 375, 241, 397], [22, 384, 48, 404], [477, 389, 511, 421], [244, 391, 291, 452], [422, 392, 464, 446], [0, 400, 10, 419], [129, 400, 151, 441], [396, 402, 416, 435], [43, 403, 68, 424], [155, 404, 183, 431], [329, 405, 366, 458], [373, 412, 380, 424], [77, 413, 102, 440], [500, 420, 520, 458], [465, 425, 482, 454], [209, 428, 231, 451], [154, 433, 180, 453], [0, 442, 15, 461], [378, 442, 406, 465], [47, 443, 64, 470], [27, 446, 45, 468], [305, 450, 327, 464], [213, 454, 247, 489], [73, 465, 91, 490], [16, 469, 41, 494], [404, 471, 423, 499], [495, 473, 520, 494], [339, 475, 372, 523], [112, 478, 131, 510], [139, 483, 166, 508], [265, 486, 292, 507], [419, 489, 447, 510], [471, 489, 489, 512], [181, 491, 203, 517], [86, 497, 104, 522], [309, 497, 338, 525], [368, 504, 397, 535], [203, 507, 237, 532], [276, 513, 299, 536], [463, 513, 493, 537], [127, 514, 148, 537], [27, 518, 54, 543], [413, 518, 448, 571], [445, 526, 457, 538], [221, 539, 251, 562], [455, 539, 487, 558], [79, 542, 108, 565], [489, 543, 519, 566], [163, 544, 185, 564], [0, 546, 3, 559], [148, 548, 162, 564], [4, 555, 27, 581], [320, 555, 344, 580], [276, 561, 302, 587], [506, 562, 520, 585], [382, 572, 409, 598], [349, 573, 378, 601], [83, 574, 108, 597], [238, 574, 268, 598], [51, 585, 95, 631], [422, 592, 459, 610], [268, 595, 294, 621], [221, 600, 257, 634], [305, 600, 335, 625], [184, 602, 204, 634], [95, 610, 120, 634], [2, 614, 39, 655], [476, 614, 506, 638], [428, 616, 460, 640], [373, 618, 429, 645], [107, 629, 132, 658], [453, 634, 482, 651], [221, 639, 245, 662], [256, 648, 288, 667], [465, 650, 485, 672], [432, 651, 462, 668], [484, 653, 504, 679], [508, 653, 520, 676], [5, 657, 23, 673], [122, 661, 144, 691], [378, 661, 406, 683], [145, 664, 163, 696], [23, 670, 41, 684], [230, 671, 265, 690], [420, 674, 435, 688], [271, 684, 294, 696], [499, 684, 520, 696], [316, 686, 340, 696], [15, 687, 41, 696], [423, 689, 451, 696]]"
08151b19806eebd58e5acec7e138dbfbb1761f41a1ab9620466584ecc7d5fada,"[[0, 0, 28, 1], [68, 0, 105, 1], [142, 0, 219, 19], [325, 0, 360, 6], [344, 9, 360, 32], [197, 28, 258, 75], [356, 36, 360, 46], [268, 46, 329, 83], [27, 48, 101, 125], [150, 111, 211, 158], [325, 131, 360, 173], [232, 162, 287, 196], [69, 176, 135, 229], [142, 192, 209, 246], [307, 207, 360, 246], [0, 219, 9, 252], [29, 235, 67, 302], [358, 261, 360, 272], [0, 270, 7, 302], [223, 285, 260, 344], [112, 295, 195, 360], [283, 295, 338, 340], [0, 352, 17, 360], [57, 352, 108, 360], [189, 359, 190, 360]]"
08275a5b1c2dfcd739e8c4888a5ee2d29f83eccfa75185404ced1dc0866ea992,"[[0, 5, 25, 22], [981, 19, 994, 34], [41, 23, 49, 30], [1011, 26, 1024, 50], [83, 32, 90, 40], [91, 32, 96, 39], [104, 32, 131, 66], [985, 36, 1010, 52], [38, 39, 45, 47], [970, 47, 979, 54], [963, 60, 980, 77], [388, 67, 406, 88], [90, 75, 106, 104], [142, 88, 160, 107], [364, 104, 380, 119], [450, 104, 473, 128], [1013, 124, 1024, 144], [75, 127, 100, 148], [441, 142, 448, 153], [261, 144, 277, 160], [364, 148, 387, 158], [40, 154, 66, 179], [164, 157, 177, 168], [170, 169, 184, 184], [418, 169, 433, 185], [432, 186, 442, 200], [414, 191, 432, 209], [292, 197, 308, 211], [366, 212, 387, 237], [242, 225, 263, 241], [580, 297, 601, 325], [793, 324, 814, 350], [186, 366, 219, 391], [921, 471, 939, 496], [973, 477, 993, 503], [407, 505, 437, 530], [743, 508, 765, 533], [770, 517, 782, 528], [828, 522, 870, 559], [766, 525, 774, 533], [898, 531, 924, 559], [363, 535, 377, 548], [396, 547, 407, 552], [755, 562, 779, 584], [949, 562, 956, 573], [844, 566, 866, 590], [868, 580, 894, 605], [825, 582, 855, 612], [797, 637, 821, 660], [549, 649, 565, 666], [628, 649, 649, 674], [347, 654, 369, 683], [974, 659, 992, 686], [648, 664, 671, 685], [264, 665, 289, 687], [543, 667, 548, 673], [925, 674, 946, 700], [610, 690, 639, 733], [257, 695, 275, 720], [407, 700, 425, 728], [285, 711, 311, 734], [200, 717, 228, 738], [652, 721, 670, 739], [729, 748, 756, 773], [249, 751, 258, 758], [240, 753, 247, 758], [349, 758, 372, 786], [197, 761, 227, 780], [645, 762, 654, 768], [590, 764, 597, 769], [658, 768, 667, 777], [619, 786, 648, 801], [670, 787, 696, 804], [84, 796, 93, 803], [683, 806, 692, 816], [121, 807, 141, 833], [640, 808, 646, 816], [81, 809, 96, 822], [583, 819, 607, 837], [632, 861, 651, 898], [0, 870, 11, 888], [254, 870, 273, 898], [573, 924, 583, 934], [5, 932, 33, 952], [286, 939, 296, 954], [277, 943, 285, 954], [784, 949, 812, 970], [557, 965, 577, 982]]"
08ae2741df2f5ac815c0f272a8c532b5167ee853be9b939b9b8b7fa93560868a,"[[17, 37, 33, 56], [103, 52, 120, 66], [44, 54, 54, 65], [129, 72, 143, 88], [75, 87, 90, 103], [141, 242, 156, 256], [38, 244, 49, 256]]"
091944f1d2611c916b98c020bd066667e33f4639159b2a92407fe5a40788856d,"[[995, 39, 1002, 48], [997, 47, 1010, 58], [735, 113, 752, 137], [804, 167, 826, 195], [432, 207, 456, 230], [763, 209, 789, 233], [355, 238, 380, 260], [255, 250, 285, 270], [234, 298, 260, 324], [356, 331, 385, 356], [516, 339, 535, 363], [412, 343, 436, 364], [178, 344, 190, 358], [321, 394, 345, 421], [175, 410, 182, 419], [453, 551, 481, 573], [282, 582, 298, 613], [424, 589, 435, 596], [293, 593, 299, 598], [354, 596, 376, 625], [418, 600, 441, 623], [744, 607, 761, 632], [626, 611, 645, 635], [407, 614, 416, 623], [253, 657, 276, 685], [9, 715, 31, 742], [450, 721, 476, 744], [272, 723, 282, 732], [322, 737, 351, 761], [565, 748, 595, 768], [595, 774, 628, 802], [540, 775, 548, 785], [634, 779, 643, 785], [496, 801, 507, 811], [533, 811, 566, 836], [624, 821, 653, 846], [581, 822, 601, 848], [84, 839, 105, 872], [132, 854, 156, 875], [145, 869, 163, 891]]"
094afe36759e7daffe12188ab5987581d405b06720f1d5acf3f2614f404df380,"[[149, 10, 160, 20], [19, 11, 36, 24], [125, 25, 138, 32], [143, 45, 157, 55], [213, 46, 224, 55], [121, 47, 134, 55], [193, 47, 203, 58], [60, 50, 90, 74], [92, 51, 99, 57], [101, 53, 110, 58], [92, 62, 104, 70], [215, 62, 227, 72], [233, 74, 246, 84], [49, 85, 60, 94], [69, 86, 81, 97], [166, 86, 187, 126], [118, 88, 125, 94], [80, 98, 86, 103], [112, 103, 120, 115], [0, 104, 4, 111], [97, 105, 109, 118], [14, 113, 22, 123], [95, 120, 100, 125], [41, 131, 51, 140], [171, 144, 182, 155], [74, 145, 86, 153], [118, 146, 127, 153], [151, 154, 160, 165], [138, 155, 150, 170], [178, 157, 188, 165], [33, 158, 47, 166], [214, 170, 223, 178], [223, 179, 228, 184], [181, 180, 198, 196], [161, 182, 172, 193], [233, 194, 241, 203], [123, 196, 139, 210], [155, 199, 162, 207], [160, 210, 165, 215], [181, 211, 189, 218], [139, 213, 144, 218], [129, 218, 135, 224], [211, 218, 218, 224], [193, 226, 201, 234], [150, 231, 161, 242], [215, 233, 224, 240], [229, 236, 237, 247], [202, 241, 211, 250], [189, 244, 201, 252], [210, 247, 224, 256], [144, 250, 154, 256]]"
0a7d30b252359a10fd298b638b90cb9ada3acced4e0c0e5a3692013f432ee4e9,"[[199, 0, 218, 7], [51, 4, 77, 25], [113, 8, 139, 31], [201, 14, 216, 33], [222, 20, 245, 41], [171, 39, 189, 55], [226, 42, 246, 54], [60, 43, 80, 62], [125, 48, 148, 76], [220, 108, 256, 161], [25, 124, 50, 148], [0, 128, 11, 142], [197, 135, 219, 158], [57, 144, 77, 165], [13, 156, 41, 182], [231, 168, 253, 191], [0, 181, 13, 203], [193, 182, 213, 203], [33, 185, 59, 205], [4, 206, 36, 234], [21, 220, 69, 256], [0, 242, 15, 256], [160, 242, 180, 256]]"
0acd2c223d300ea55d0546797713851e818e5c697d073b7f4091b96ce0f3d2fe,"[[0, 2, 9, 15], [101, 65, 117, 82], [186, 91, 209, 113], [160, 93, 175, 115], [214, 146, 234, 164], [135, 165, 153, 183], [198, 189, 203, 194], [7, 222, 20, 235], [120, 223, 138, 241]]"
0b0d577159f0d6c266f360f7b8dfde46e16fa665138bf577ec3c6f9c70c0cd1e,"[[274, 16, 309, 42], [141, 110, 172, 147], [88, 142, 130, 167], [9, 285, 30, 303], [0, 297, 6, 312], [275, 495, 295, 523], [282, 689, 298, 696]]"
0b2e702f90aee4fff2bc6e4326308d50cf04701082e718d4f831c8959fbcda93,"[[108, 29, 124, 43], [78, 166, 96, 183], [145, 201, 162, 216], [212, 205, 228, 220], [233, 231, 248, 247]]"
